"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/16/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 6,756 Crashes containing 14,925 Units and 16,139 Persons"

"Filters Applied to current Query:"
"Crash Year Is In  2020 or 2021 or 2022 or 2023 or 2024 or 2025"
"County Is Equal To HARRIS"
"Crash Severity Is In A - SUSPECTED SERIOUS INJURY or B - SUSPECTED MINOR INJURY or C - POSSIBLE INJURY or K - FATAL INJURY"
"Unit Description Is In 4 - PEDESTRIAN"
"TxDOT Reportable Flag Is True "


"Crash ID","Active School Zone Flag","At Intersection Flag","Bridge Detail","City","Contributing Factors","Crash Date","Crash Month","Crash Severity","Crash Time","Crash Year","DA","Day of Week","Hour of Day","Intersecting Road Speed Limit","Intersection Related","Latitude","Left Curb Type","Left Shoulder Type","Left Shoulder Use","Light Condition","Longitude","Number of Lanes","Object Struck","Population Group","Right Curb Type","Right of Way Usual Width","Right Shoulder Type","Right Shoulder Use","Road Base Type","Section","Section 2","Speed Limit","Street Name","Street Number","Surface Width","TxDOT Reportable Flag","Weather Condition"
"17502830","NO","false","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-02","1","A - SUSPECTED SERIOUS INJURY","2014","2020","20","THURSDAY","20:00 - 20:59","-1","NON INTERSECTION","29.79557995","NONE","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","3 - DARK, LIGHTED","-95.27279069","4","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","No Data","1","No Data","45","UA0090","3800","44","Yes","3 - RAIN"
"17517490","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","NONE","2020-01-02","1","B - SUSPECTED MINOR INJURY","1841","2020","3D","THURSDAY","18:00 - 18:59","-1","NON INTERSECTION","29.77799671","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.13852762","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","DELL DALE ST","282","No Data","Yes","3 - RAIN"
"17531703","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO CONTROL SPEED;FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-02","1","A - SUSPECTED SERIOUS INJURY","1954","2020","50","THURSDAY","19:00 - 19:59","-1","INTERSECTION RELATED","29.73069481","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.44153307","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","45","WESLAYAN ST","NO DATA","No Data","Yes","3 - RAIN"
"17494867","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN;PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-03","1","B - SUSPECTED MINOR INJURY","1304","2020","30","FRIDAY","13:00 - 13:59","-1","INTERSECTION RELATED","29.74907481","No Data","No Data","No Data","1 - DAYLIGHT","-95.41068308","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","S SHEPHERD DR","NO DATA","No Data","Yes","1 - CLEAR"
"17495700","NO","true","NOT APPLICABLE","HOUSTON","DRIVER INATTENTION; FAILED TO CONTROL SPEED","2020-01-03","1","C - POSSIBLE INJURY","1500","2020","80","FRIDAY","15:00 - 15:59","-1","INTERSECTION RELATED","29.70611481","No Data","No Data","No Data","1 - DAYLIGHT","-95.41477308","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","MORNINGSIDE DR","NO DATA","No Data","Yes","1 - CLEAR"
"17520477","NO","false","NOT APPLICABLE","HOUSTON","FAILED TO CONTROL SPEED","2020-01-03","1","A - SUSPECTED SERIOUS INJURY","2230","2020","50","FRIDAY","22:00 - 22:59","-1","NON INTERSECTION","29.8504952","No Data","No Data","No Data","99 - UNKNOWN","-95.25492315","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","TIDWELL RD","9238","No Data","Yes","1 - CLEAR"
"17496424","NO","false","NOT APPLICABLE","HOUSTON","DISABLED IN TRAFFIC LANE; FAILED TO CONTROL SPEED; PARKED IN TRAFFIC LANE","2020-01-04","1","A - SUSPECTED SERIOUS INJURY","1522","2020","30","SATURDAY","15:00 - 15:59","-1","NON INTERSECTION","29.63041709","NONE","EARTH-WITH OR WITHOUT TURF (UNPAVED)","EMERGENCY ONLY","1 - DAYLIGHT","-95.50785503","6","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","STABILIZED-SURFACED WITH FLEX (UNPAVED)","EMERGENCY ONLY","No Data","9","No Data","60","UA0090","NO DATA","76","Yes","1 - CLEAR"
"17496739","NO","false","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-04","1","A - SUSPECTED SERIOUS INJURY","2138","2020","10","SATURDAY","21:00 - 21:59","-1","NON INTERSECTION","29.6890715","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.36352242","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","SCOTT ST","NO DATA","No Data","Yes","1 - CLEAR"
"17499442","NO","true","NOT APPLICABLE","HOUSTON","DISREGARD STOP AND GO SIGNAL","2020-01-05","1","A - SUSPECTED SERIOUS INJURY","0820","2020","30","SUNDAY","08:00 - 08:59","-1","INTERSECTION","29.7585648","No Data","No Data","No Data","1 - DAYLIGHT","-95.35094309","No Data","OTHER","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","CHARTRES ST","NO DATA","No Data","Yes","1 - CLEAR"
"17508469","NO","true","NOT APPLICABLE","HOUSTON","OTHER (EXPLAIN IN NARRATIVE)","2020-01-05","1","A - SUSPECTED SERIOUS INJURY","0815","2020","50","SUNDAY","08:00 - 08:59","-1","INTERSECTION RELATED","29.91546477","No Data","No Data","No Data","1 - DAYLIGHT","-95.40523307","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","WEST RD","NO DATA","No Data","Yes","1 - CLEAR"
"17513929","NO","false","NOT APPLICABLE","HOUSTON","HAD BEEN DRINKING","2020-01-05","1","B - SUSPECTED MINOR INJURY","2348","2020","10","SUNDAY","23:00 - 23:59","-1","DRIVEWAY ACCESS","29.73407305","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.28259394","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","79TH ST","692","No Data","Yes","1 - CLEAR"
"17499052","NO","false","NOT APPLICABLE","HOUSTON","DRIVER INATTENTION","2020-01-06","1","A - SUSPECTED SERIOUS INJURY","1453","2020","30","MONDAY","14:00 - 14:59","-1","INTERSECTION RELATED","29.80291109","No Data","No Data","No Data","1 - DAYLIGHT","-95.3992028","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","YALE ST","1896","No Data","Yes","1 - CLEAR"
"17499317","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION;FAILED TO YIELD RIGHT OF WAY - TURNING LEFT","2020-01-06","1","C - POSSIBLE INJURY","0800","2020","20","MONDAY","08:00 - 08:59","-1","INTERSECTION RELATED","29.64993482","No Data","No Data","No Data","1 - DAYLIGHT","-95.36858309","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","SCOTT ST","NO DATA","No Data","Yes","1 - CLEAR"
"17502967","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","HAD BEEN DRINKING;PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE;UNDER INFLUENCE - DRUG","2020-01-06","1","K - FATAL INJURY","1854","2020","NO DATA","MONDAY","18:00 - 18:59","-1","INTERSECTION RELATED","30.01657382","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.51928509","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","40","STUEBNER AIRLINE RD","NO DATA","No Data","Yes","1 - CLEAR"
"17504458","NO","true","NOT APPLICABLE","HOUSTON","DRIVER INATTENTION","2020-01-06","1","C - POSSIBLE INJURY","1804","2020","10","MONDAY","18:00 - 18:59","-1","INTERSECTION","29.7592648","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.36694309","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","LOUISIANA ST","899","No Data","Yes","2 - CLOUDY"
"17512849","NO","true","NOT APPLICABLE","HOUSTON","OTHER (EXPLAIN IN NARRATIVE)","2020-01-06","1","C - POSSIBLE INJURY","0840","2020","40","MONDAY","08:00 - 08:59","-1","INTERSECTION RELATED","29.68204482","No Data","No Data","No Data","1 - DAYLIGHT","-95.41241308","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","KIRBY DR","NO DATA","No Data","Yes","1 - CLEAR"
"17514759","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-06","1","C - POSSIBLE INJURY","1705","2020","NO DATA","MONDAY","17:00 - 17:59","-1","INTERSECTION","29.70298482","No Data","No Data","No Data","1 - DAYLIGHT","-95.43110308","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","SEWANEE ST","NO DATA","No Data","Yes","1 - CLEAR"
"17537571","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-06","1","C - POSSIBLE INJURY","0740","2020","50","MONDAY","07:00 - 07:59","-1","INTERSECTION RELATED","29.71772482","No Data","No Data","No Data","1 - DAYLIGHT","-95.52006305","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","FONDREN RD","NO DATA","No Data","Yes","1 - CLEAR"
"17501278","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-07","1","C - POSSIBLE INJURY","0614","2020","10","TUESDAY","06:00 - 06:59","-1","INTERSECTION RELATED","29.7560148","No Data","No Data","No Data","1 - DAYLIGHT","-95.36696309","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","TRAVIS ST","1199","No Data","Yes","1 - CLEAR"
"17501780","NO","true","NOT APPLICABLE","TOMBALL","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN;PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-07","1","B - SUSPECTED MINOR INJURY","1518","2020","NO DATA","TUESDAY","15:00 - 15:59","-1","INTERSECTION RELATED","30.09645474","No Data","No Data","No Data","1 - DAYLIGHT","-95.61556301","No Data","NOT APPLICABLE","10,000 - 24,999 POP","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","S CHERRY ST","199","No Data","Yes","1 - CLEAR"
"17502905","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION","2020-01-07","1","A - SUSPECTED SERIOUS INJURY","2000","2020","40","TUESDAY","20:00 - 20:59","-1","INTERSECTION RELATED","29.67976089","CURB-SURFACE DRAINAGE ONLY","NONE (UNPAVED)","NO DESIGNATED USE","3 - DARK, LIGHTED","-95.42593222","8","NOT APPLICABLE","250,000 POP AND OVER","CURB-SUB-SURFACE ONLY","No Data","NONE (UNPAVED)","NO DESIGNATED USE","No Data","9","No Data","40","UA0090","NO DATA","96","Yes","1 - CLEAR"
"17507172","NO","false","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-07","1","K - FATAL INJURY","0726","2020","10","TUESDAY","07:00 - 07:59","-1","NON INTERSECTION","29.62608148","NONE","STABILIZED-SURFACED WITH FLEX (UNPAVED)","EMERGENCY ONLY","3 - DARK, LIGHTED","-95.41463713","4","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","STABILIZED-SURFACED WITH FLEX (UNPAVED)","EMERGENCY ONLY","No Data","1","No Data","50","FM0521","NO DATA","68","Yes","1 - CLEAR"
"17507174","NO","false","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-07","1","B - SUSPECTED MINOR INJURY","0841","2020","40","TUESDAY","08:00 - 08:59","-1","DRIVEWAY ACCESS","29.73357213","No Data","No Data","No Data","1 - DAYLIGHT","-95.38212099","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","5","FANNIN ST","4401","No Data","Yes","1 - CLEAR"
"17502244","NO","false","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-08","1","B - SUSPECTED MINOR INJURY","1025","2020","30","WEDNESDAY","10:00 - 10:59","-1","NON INTERSECTION","29.67546629","NONE","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","1 - DAYLIGHT","-95.26775196","9","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","No Data","3","No Data","40","IH0045","NO DATA","96","Yes","1 - CLEAR"
"17504696","NO","false","NOT APPLICABLE","HOUSTON","OTHER (EXPLAIN IN NARRATIVE)","2020-01-08","1","C - POSSIBLE INJURY","1600","2020","50","WEDNESDAY","16:00 - 16:59","-1","NON INTERSECTION","29.67218412","No Data","No Data","No Data","1 - DAYLIGHT","-95.55495125","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","FORUM PARK DR","9940","No Data","Yes","1 - CLEAR"
"17515581","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-08","1","C - POSSIBLE INJURY","1644","2020","NO DATA","WEDNESDAY","16:00 - 16:59","-1","NON INTERSECTION","29.86439172","No Data","No Data","No Data","1 - DAYLIGHT","-95.69794783","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","BRENWOOD PARK DR","6482","No Data","Yes","2 - CLOUDY"
"17506832","NO","false","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION","2020-01-09","1","A - SUSPECTED SERIOUS INJURY","1630","2020","50","THURSDAY","16:00 - 16:59","-1","NON INTERSECTION","29.83727706","No Data","No Data","No Data","1 - DAYLIGHT","-95.3810651","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","BERRY RD","31","No Data","Yes","3 - RAIN"
"17507545","NO","true","NOT APPLICABLE","HOUSTON","DRIVER INATTENTION","2020-01-09","1","C - POSSIBLE INJURY","0630","2020","40","THURSDAY","06:00 - 06:59","-1","INTERSECTION RELATED","29.7689548","No Data","No Data","No Data","5 - DAWN","-95.39188308","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","WASHINGTON AVE","NO DATA","No Data","Yes","1 - CLEAR"
"17512211","NO","true","NOT APPLICABLE","HOUSTON","DRIVER INATTENTION","2020-01-09","1","C - POSSIBLE INJURY","0730","2020","70","THURSDAY","07:00 - 07:59","-1","INTERSECTION RELATED","29.72232488","CURB-SURFACE DRAINAGE ONLY","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","1 - DAYLIGHT","-95.37697129","9","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","No Data","1","No Data","35","SH0288","NO DATA","96","Yes","2 - CLOUDY"
"17523021","NO","true","NOT APPLICABLE","OUTSIDE CITY LIMITS","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-09","1","A - SUSPECTED SERIOUS INJURY","1820","2020","4T","THURSDAY","18:00 - 18:59","-1","INTERSECTION","29.71071157","CURB-SURFACE DRAINAGE ONLY","NONE (UNPAVED)","NO DESIGNATED USE","3 - DARK, LIGHTED","-95.64407298","6","NOT APPLICABLE","RURAL","CURB-SURFACE DRAINAGE ONLY","No Data","NONE (UNPAVED)","NO DESIGNATED USE","No Data","5","No Data","40","SH0006","NO DATA","96","Yes","1 - CLEAR"
"17527436","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-09","1","B - SUSPECTED MINOR INJURY","1451","2020","1T","THURSDAY","14:00 - 14:59","-1","DRIVEWAY ACCESS","29.92284835","NONE","CONCRETE SURFACE (PAVED)","EMERGENCY ONLY","1 - DAYLIGHT","-95.49788865","6","NOT APPLICABLE","RURAL","CURB-SUB-SURFACE ONLY","No Data","CONCRETE SURFACE (PAVED)","EMERGENCY ONLY","No Data","3","No Data","50","SH0249","14156","72","Yes","1 - CLEAR"
"17528104","NO","false","NOT APPLICABLE","HOUSTON","OTHER (EXPLAIN IN NARRATIVE)","2020-01-09","1","K - FATAL INJURY","1315","2020","01","THURSDAY","13:00 - 13:59","-1","NON INTERSECTION","29.832816","NONE","NONE (UNPAVED)","NO DESIGNATED USE","1 - DAYLIGHT","-95.38410184","8","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","No Data","3","No Data","60","IH0045","NO DATA","96","Yes","2 - CLOUDY"
"17532296","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-09","1","C - POSSIBLE INJURY","2058","2020","NO DATA","THURSDAY","20:00 - 20:59","-1","NON INTERSECTION","29.97743965","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.43826995","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","40","ELLA BLVD","14540","No Data","Yes","2 - CLOUDY"
"17532626","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-09","1","B - SUSPECTED MINOR INJURY","1118","2020","NO DATA","THURSDAY","11:00 - 11:59","-1","NON INTERSECTION","29.97038355","No Data","No Data","No Data","1 - DAYLIGHT","-95.45481916","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","LAUREL CREEK DR","2296","No Data","Yes","1 - CLEAR"
"17515333","NO","true","NOT APPLICABLE","OUTSIDE CITY LIMITS","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-10","1","C - POSSIBLE INJURY","1546","2020","NO DATA","FRIDAY","15:00 - 15:59","-1","NON INTERSECTION","30.00440163","No Data","No Data","No Data","1 - DAYLIGHT","-95.46151186","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","40","KUYKENDAHL RD","15652","No Data","Yes","1 - CLEAR"
"17529425","NO","false","NOT APPLICABLE","HOUSTON","OTHER (EXPLAIN IN NARRATIVE)","2020-01-10","1","C - POSSIBLE INJURY","1620","2020","20","FRIDAY","16:00 - 16:59","-1","NON INTERSECTION","29.81306069","No Data","No Data","No Data","1 - DAYLIGHT","-95.32251852","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","WIPPRECHT ST","5868","No Data","Yes","2 - CLOUDY"
"17508046","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE;UNDER INFLUENCE - ALCOHOL;UNDER INFLUENCE - DRUG","2020-01-11","1","K - FATAL INJURY","0135","2020","NO DATA","SATURDAY","01:00 - 01:59","-1","NON INTERSECTION","29.91364622","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.30184613","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","40","HOMESTEAD RD","NO DATA","No Data","Yes","3 - RAIN"
