Crash ID,Active School Zone Flag,At Intersection Flag,Bridge Detail,City,Contributing Factors,Crash Date,Crash Month,Crash Severity,Crash Time,Crash Year,DA,Day of Week,Hour of Day,Intersecting Road Speed Limit,Intersection Related,Latitude,Left Curb Type,Left Shoulder Type,Left Shoulder Use,Light Condition,Longitude,Number of Lanes,Object Struck,Population Group,Right Curb Type,Right of Way Usual Width,Right Shoulder Type,Right Shoulder Use,Road Base Type,Section,Section 2,Speed Limit,Street Name,Street Number,Surface Width,TxDOT Reportable Flag,Weather Condition
17515535,NO,TRUE,NOT APPLICABLE,HOUSTON,DISREGARD STOP AND GO SIGNAL,1/13/20,1,C - POSSIBLE INJURY,1715,2020,40,MONDAY,17:00 - 17:59,-1,INTERSECTION,29.74266481,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.37877309,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,MILAM ST,3201,No Data,Yes,1 - CLEAR
17516177,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - TURN ON RED,1/15/20,1,C - POSSIBLE INJURY,1740,2020,10,WEDNESDAY,17:00 - 17:59,-1,INTERSECTION,29.708792,CURB-SURFACE DRAINAGE ONLY,NONE (UNPAVED),NO DESIGNATED USE,1 - DAYLIGHT,-95.33670717,6,NOT APPLICABLE,"250,000 POP AND OVER",CURB-SURFACE DRAINAGE ONLY,No Data,NONE (UNPAVED),NO DESIGNATED USE,No Data,10,No Data,45,UA0090,NO DATA,66,Yes,1 - CLEAR
17520272,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,DRIVER INATTENTION;PASSED IN NO PASSING LANE;OTHER (EXPLAIN IN NARRATIVE),1/16/20,1,C - POSSIBLE INJURY,1630,2020,NO DATA,THURSDAY,16:00 - 16:59,-1,INTERSECTION RELATED,30.04020475,No Data,No Data,No Data,1 - DAYLIGHT,-95.650933,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,UNKNOWN,NO DATA,No Data,Yes,1 - CLEAR
17520968,NO,TRUE,NOT APPLICABLE,HOUSTON,DISREGARD STOP AND GO SIGNAL,1/16/20,1,B - SUSPECTED MINOR INJURY,1451,2020,30,THURSDAY,14:00 - 14:59,-1,INTERSECTION,29.7547748,No Data,No Data,No Data,1 - DAYLIGHT,-95.35391309,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,TEXAS ST,2001,No Data,Yes,1 - CLEAR
17542757,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO GIVE HALF OF ROADWAY,1/22/20,1,B - SUSPECTED MINOR INJURY,1448,2020,T2,WEDNESDAY,14:00 - 14:59,-1,INTERSECTION,29.87972172,NONE,CONCRETE SURFACE (PAVED),BICYCLE,1 - DAYLIGHT,-95.71821303,4,NOT APPLICABLE,RURAL,NONE,No Data,BITUMINOUS SURFACE (PAVED),BICYCLE,No Data,1,No Data,45,FM0529,NO DATA,64,Yes,3 - RAIN
17531220,NO,FALSE,NOT APPLICABLE,HOUSTON,DRIVER INATTENTION; WRONG WAY - ONE WAY ROAD,1/23/20,1,B - SUSPECTED MINOR INJURY,1740,2020,50,THURSDAY,17:00 - 17:59,-1,NON INTERSECTION,29.62616124,No Data,No Data,No Data,1 - DAYLIGHT,-95.30654506,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,45,E OREM DR,NO DATA,No Data,Yes,1 - CLEAR
17532504,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION,1/24/20,1,C - POSSIBLE INJURY,2145,2020,20,FRIDAY,21:00 - 21:59,-1,INTERSECTION RELATED,29.7765148,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.3073731,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,KRESS ST,NO DATA,No Data,Yes,1 - CLEAR
17535844,NO,FALSE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION,1/24/20,1,A - SUSPECTED SERIOUS INJURY,1541,2020,50,FRIDAY,15:00 - 15:59,-1,INTERSECTION,29.67502359,No Data,No Data,No Data,1 - DAYLIGHT,-95.55538027,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,BISSONNET ST,NO DATA,No Data,Yes,1 - CLEAR
17535376,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,1/26/20,1,B - SUSPECTED MINOR INJURY,1800,2020,30,SUNDAY,18:00 - 18:59,-1,INTERSECTION,29.80286479,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.40361308,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,ASHLAND ST,1900,No Data,Yes,1 - CLEAR
17536225,NO,TRUE,NOT APPLICABLE,HOUSTON,DISREGARD STOP AND GO SIGNAL,1/26/20,1,B - SUSPECTED MINOR INJURY,1820,2020,30,SUNDAY,18:00 - 18:59,-1,INTERSECTION,29.73078481,No Data,No Data,No Data,1 - DAYLIGHT,-95.59256303,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,RICHMOND AVE,NO DATA,No Data,Yes,1 - CLEAR
17536031,NO,TRUE,NOT APPLICABLE,HOUSTON,DISREGARD STOP AND GO SIGNAL,1/27/20,1,B - SUSPECTED MINOR INJURY,1345,2020,50,MONDAY,13:00 - 13:59,-1,INTERSECTION RELATED,29.83759479,No Data,No Data,No Data,1 - DAYLIGHT,-95.36161309,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,IRVINGTON BLVD,NO DATA,No Data,Yes,1 - CLEAR
17543807,NO,TRUE,NOT APPLICABLE,HOUSTON,WRONG SIDE - APPROACH OR INTERSECTION,1/29/20,1,C - POSSIBLE INJURY,1830,2020,40,WEDNESDAY,18:00 - 18:59,-1,INTERSECTION RELATED,29.73740348,CURB-SUB-SURFACE ONLY,NONE (UNPAVED),NO DESIGNATED USE,1 - DAYLIGHT,-95.51975345,8,NOT APPLICABLE,"250,000 POP AND OVER",CURB-SUB-SURFACE ONLY,No Data,NONE (UNPAVED),NO DESIGNATED USE,No Data,4,No Data,40,FM1093,NO DATA,90,Yes,1 - CLEAR
17542314,NO,FALSE,NOT APPLICABLE,BAYTOWN,NONE,1/30/20,1,A - SUSPECTED SERIOUS INJURY,2035,2020,NO DATA,THURSDAY,20:00 - 20:59,-1,DRIVEWAY ACCESS,29.77465746,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-94.9418551,No Data,NOT APPLICABLE,"50,000 - 99,999 POP",No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,CROSBY CEDAR BAYOU RD,4394,No Data,Yes,2 - CLOUDY
17549157,NO,FALSE,NOT APPLICABLE,OUTSIDE CITY LIMITS,DRIVER INATTENTION; FAILED TO CONTROL SPEED,1/30/20,1,A - SUSPECTED SERIOUS INJURY,1821,2020,3E,THURSDAY,18:00 - 18:59,-1,NON INTERSECTION,29.77919456,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.12442171,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,SHELDON RD,477,No Data,Yes,1 - CLEAR
17552528,NO,TRUE,NOT APPLICABLE,HOUSTON,WRONG WAY - ONE WAY ROAD,2/3/20,2,C - POSSIBLE INJURY,745,2020,10,MONDAY,07:00 - 07:59,-1,INTERSECTION RELATED,29.67826482,No Data,No Data,No Data,1 - DAYLIGHT,-95.46773307,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,S BRAESWOOD BLVD,NO DATA,No Data,Yes,1 - CLEAR
17552882,NO,FALSE,NOT APPLICABLE,OUTSIDE CITY LIMITS,OTHER (EXPLAIN IN NARRATIVE),2/4/20,2,B - SUSPECTED MINOR INJURY,1520,2020,NO DATA,TUESDAY,15:00 - 15:59,-1,NON INTERSECTION,30.11262825,No Data,No Data,No Data,1 - DAYLIGHT,-95.57976271,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,45,HUFSMITH KUYKENDAHL RD,10436,No Data,Yes,2 - CLOUDY
17556533,NO,FALSE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;OTHER (EXPLAIN IN NARRATIVE),2/4/20,2,B - SUSPECTED MINOR INJURY,1915,2020,1E,TUESDAY,19:00 - 19:59,-1,DRIVEWAY ACCESS,30.02147301,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-95.47409205,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,KUYKENDAHL RD,16963,No Data,Yes,1 - CLEAR
17565443,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN,2/4/20,2,B - SUSPECTED MINOR INJURY,641,2020,NO DATA,TUESDAY,06:00 - 06:59,-1,INTERSECTION RELATED,29.89970478,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.48051305,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,ANTOINE DR,NO DATA,No Data,Yes,1 - CLEAR
17553937,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,DISREGARD STOP SIGN OR LIGHT,2/6/20,2,A - SUSPECTED SERIOUS INJURY,1649,2020,NO DATA,THURSDAY,16:00 - 16:59,-1,INTERSECTION,29.97014482,No Data,No Data,No Data,1 - DAYLIGHT,-95.60562611,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,CREEKWAY DR,13401,No Data,Yes,1 - CLEAR
17584665,NO,TRUE,NOT APPLICABLE,HOUSTON,DRIVER INATTENTION; FAILED TO DRIVE IN SINGLE LANE,2/6/20,2,B - SUSPECTED MINOR INJURY,1827,2020,30,THURSDAY,18:00 - 18:59,-1,NON INTERSECTION,29.84039478,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-95.3280131,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,LAURA KOPPE RD,4150,No Data,Yes,1 - CLEAR
17572644,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,2/7/20,2,B - SUSPECTED MINOR INJURY,1615,2020,4T,FRIDAY,16:00 - 16:59,-1,INTERSECTION,29.8002648,No Data,No Data,No Data,1 - DAYLIGHT,-95.711563,No Data,HIT HIGHWAY SIGN,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,SAUMS RD,19427,No Data,Yes,1 - CLEAR
17583064,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO CONTROL SPEED,2/8/20,2,B - SUSPECTED MINOR INJURY,148,2020,10,SATURDAY,01:00 - 01:59,-1,INTERSECTION,29.83490478,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.3189531,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,SADLER ST,NO DATA,No Data,Yes,1 - CLEAR
17570025,NO,FALSE,NOT APPLICABLE,HOUSTON,OTHER (EXPLAIN IN NARRATIVE),2/9/20,2,C - POSSIBLE INJURY,1800,2020,40,SUNDAY,18:00 - 18:59,-1,NON INTERSECTION,29.65983482,No Data,No Data,No Data,6 - DUSK,-95.58396349,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,S KIRKWOOD RD,NO DATA,No Data,Yes,1 - CLEAR
17572119,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,2/9/20,2,B - SUSPECTED MINOR INJURY,1647,2020,50,SUNDAY,16:00 - 16:59,-1,INTERSECTION,29.72562481,No Data,No Data,No Data,1 - DAYLIGHT,-95.35885309,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,ALABAMA ST,NO DATA,No Data,Yes,2 - CLOUDY
17560001,NO,FALSE,NOT APPLICABLE,HOUSTON,WRONG WAY - ONE WAY ROAD,2/10/20,2,B - SUSPECTED MINOR INJURY,1712,2020,20,MONDAY,17:00 - 17:59,-1,NON INTERSECTION,29.80768485,NONE,NONE (UNPAVED),NO DESIGNATED USE,1 - DAYLIGHT,-95.37327559,7,NOT APPLICABLE,"250,000 POP AND OVER",NONE,No Data,BITUMINOUS SURFACE (PAVED),EMERGENCY ONLY,No Data,3,No Data,15,IH0045,NO DATA,120,Yes,2 - CLOUDY
17567852,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,2/13/20,2,C - POSSIBLE INJURY,1616,2020,30,THURSDAY,16:00 - 16:59,-1,INTERSECTION,29.79804479,No Data,No Data,No Data,1 - DAYLIGHT,-95.39796308,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,HEIGHTS BLVD,NO DATA,No Data,Yes,1 - CLEAR
17570060,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,DISREGARD STOP AND GO SIGNAL,2/13/20,2,A - SUSPECTED SERIOUS INJURY,1454,2020,NO DATA,THURSDAY,14:00 - 14:59,-1,INTERSECTION RELATED,29.88584478,No Data,No Data,No Data,1 - DAYLIGHT,-95.53744304,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,WINDFERN RD,NO DATA,No Data,Yes,1 - CLEAR
17571702,NO,FALSE,NOT APPLICABLE,BELLAIRE,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,2/14/20,2,C - POSSIBLE INJURY,1307,2020,NO DATA,FRIDAY,13:00 - 13:59,-1,DRIVEWAY ACCESS,29.70516516,No Data,No Data,No Data,1 - DAYLIGHT,-95.47276458,No Data,NOT APPLICABLE,"10,000 - 24,999 POP",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,BISSONNET ST,5301,No Data,Yes,1 - CLEAR
17582327,NO,TRUE,NOT APPLICABLE,HOUSTON,OTHER (EXPLAIN IN NARRATIVE),2/15/20,2,B - SUSPECTED MINOR INJURY,1327,2020,20,SATURDAY,13:00 - 13:59,-1,INTERSECTION,29.71158482,No Data,No Data,No Data,1 - DAYLIGHT,-95.57968304,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,HIGH STAR DR,11399,No Data,Yes,1 - CLEAR
17576357,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - TURN ON RED,2/16/20,2,C - POSSIBLE INJURY,1945,2020,10,SUNDAY,19:00 - 19:59,-1,INTERSECTION,29.7980148,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.52381305,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,LONG POINT RD,9389,No Data,Yes,2 - CLOUDY
17577209,NO,TRUE,NOT APPLICABLE,HOUSTON,DISREGARD STOP AND GO SIGNAL,2/17/20,2,A - SUSPECTED SERIOUS INJURY,1746,2020,1,MONDAY,17:00 - 17:59,-1,NON INTERSECTION,29.7562348,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.36555309,No Data,HIT TRAIN MOVING FORWARD,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,LAMAR ST,999,No Data,Yes,1 - CLEAR
17578420,NO,FALSE,NOT APPLICABLE,HOUSTON,CHANGED LANE WHEN UNSAFE,2/19/20,2,C - POSSIBLE INJURY,1658,2020,10,WEDNESDAY,16:00 - 16:59,-1,NON INTERSECTION,29.86988478,No Data,No Data,No Data,1 - DAYLIGHT,-95.40377308,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,W LITTLE YORK RD,300,No Data,Yes,2 - CLOUDY
17581111,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,2/20/20,2,B - SUSPECTED MINOR INJURY,600,2020,10,THURSDAY,06:00 - 06:59,-1,INTERSECTION,29.7551448,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.36378309,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,SAN JACINTO ST,1099,No Data,Yes,3 - RAIN
17582592,NO,FALSE,NOT APPLICABLE,HOUSTON,WRONG SIDE - APPROACH OR INTERSECTION,2/20/20,2,C - POSSIBLE INJURY,1557,2020,20,THURSDAY,15:00 - 15:59,-1,INTERSECTION,29.681398,CURB-SURFACE DRAINAGE ONLY,NONE (UNPAVED),NO DESIGNATED USE,1 - DAYLIGHT,-95.29013178,6,NOT APPLICABLE,"250,000 POP AND OVER",CURB-SURFACE DRAINAGE ONLY,No Data,NONE (UNPAVED),NO DESIGNATED USE,No Data,1,No Data,35,SH0035,NO DATA,64,Yes,1 - CLEAR
17612285,NO,TRUE,NOT APPLICABLE,HOUSTON,OTHER (EXPLAIN IN NARRATIVE),2/20/20,2,C - POSSIBLE INJURY,1305,2020,NO DATA,THURSDAY,13:00 - 13:59,-1,INTERSECTION,29.71189481,No Data,No Data,No Data,1 - DAYLIGHT,-95.40204308,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,UNIVERSITY BLVD,1900,No Data,Yes,1 - CLEAR
17589713,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - TURN ON RED,2/21/20,2,B - SUSPECTED MINOR INJURY,1824,2020,20,FRIDAY,18:00 - 18:59,-1,INTERSECTION RELATED,29.67064482,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.46205307,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,S POST OAK RD,NO DATA,No Data,Yes,1 - CLEAR
17606225,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO CONTROL SPEED,2/21/20,2,B - SUSPECTED MINOR INJURY,1625,2020,NO DATA,FRIDAY,16:00 - 16:59,-1,NON INTERSECTION,29.60514483,No Data,No Data,No Data,1 - DAYLIGHT,-95.3581431,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-1,BRUNSWICK CROSSING LN,3951,No Data,Yes,1 - CLEAR
17593854,NO,FALSE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAULTY EVASIVE ACTION,2/22/20,2,A - SUSPECTED SERIOUS INJURY,831,2020,3D,SATURDAY,08:00 - 08:59,-1,NON INTERSECTION,29.88367618,No Data,No Data,No Data,1 - DAYLIGHT,-95.13567999,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,45,GARRETT RD,15855,No Data,Yes,1 - CLEAR
17604103,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,DRIVER INATTENTION;PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,2/23/20,2,B - SUSPECTED MINOR INJURY,1257,2020,NO DATA,SUNDAY,12:00 - 12:59,-1,INTERSECTION,29.80724479,No Data,No Data,No Data,1 - DAYLIGHT,-95.19808313,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,WOOD BEND DR,5698,No Data,Yes,2 - CLOUDY
17631926,NO,FALSE,NOT APPLICABLE,HOUSTON,FAILED TO CONTROL SPEED,2/23/20,2,C - POSSIBLE INJURY,2000,2020,1E,SUNDAY,20:00 - 20:59,-1,NON INTERSECTION,29.74676479,No Data,No Data,No Data,1 - DAYLIGHT,-95.38728308,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,15,WHITNEY ST,2600,No Data,Yes,1 - CLEAR
17589454,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,2/25/20,2,B - SUSPECTED MINOR INJURY,1855,2020,70,TUESDAY,18:00 - 18:59,-1,INTERSECTION RELATED,29.72781481,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.37706309,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,ALMEDA RD,4699,No Data,Yes,2 - CLOUDY
17629492,NO,TRUE,NOT APPLICABLE,HOUSTON,DRIVER INATTENTION,2/25/20,2,B - SUSPECTED MINOR INJURY,545,2020,30,TUESDAY,05:00 - 05:59,-1,INTERSECTION RELATED,29.68312482,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.45547307,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,N BRAESWOOD BLVD,4600,No Data,Yes,1 - CLEAR
